CZ20,CZ2000,CZ2000_name,pop_overlap,share_of_CZ20,afactor,CZ20_total_pop,cells,grid_res_m,crs_epsg,method
118,106,NA,608323.1203911577,0.7604139780286416,0.7604139780286416,799989.3978385609,107763,100,5070,building_footprint_area
8,106,NA,52302.8025591569,0.1500230023894309,0.1500230023894309,348631.8879513481,19094,100,5070,building_footprint_area
10,120,NA,678824.9439124065,0.7884436646558733,0.7884436646558733,860968.2268278338,120807,100,5070,building_footprint_area
496,457,NA,211630.11896330002,0.9997948980063637,0.9997948980063637,211673.53362704697,63968,100,5070,building_footprint_area
10,140,NA,182131.2065659901,0.2115423088689782,0.2115423088689782,860968.2268278338,48771,100,5070,building_footprint_area
8,558,NA,296328.3623084567,0.8499749235497631,0.8499749235497631,348631.8879513481,92119,100,5070,building_footprint_area
110,90,NA,472873.89247909014,0.9997047017696472,0.9997047017696472,473013.572549997,96966,100,5070,building_footprint_area
297,494,NA,78082.02939191204,0.2374107993820008,0.2374107993820008,328889.9645473828,27120,100,5070,building_footprint_area
10,558,NA,1.1668933629989624,1.355326859503613e-6,1.355326859503613e-6,860968.2268278338,1,100,5070,building_footprint_area
5,120,NA,87223.15033926559,0.0690846164181805,0.0690846164181805,1262555.3250710631,31242,100,5070,building_footprint_area
8,120,NA,0.7230837345123291,2.0740608059731936e-6,2.0740608059731936e-6,348631.8879513481,1,100,5070,building_footprint_area
5,558,NA,10.925608038902283,8.653567746258828e-6,8.653567746258828e-6,1262555.3250710631,3,100,5070,building_footprint_area
5,21,NA,1086931.26226283,0.8608979271475901,0.8608979271475901,1262555.3250710631,164795,100,5070,building_footprint_area
5,462,NA,88386.99907439714,0.0700064364065965,0.0700064364065965,1262555.3250710631,33201,100,5070,building_footprint_area
10,462,NA,1.8616340160369873,2.1622563504997434e-6,2.1622563504997434e-6,860968.2268278338,1,100,5070,building_footprint_area
12,462,NA,59012.199434659444,1,1,59012.199434659444,25310,100,5070,building_footprint_area
297,166,NA,201423.4491476704,0.6124341599320875,0.6124341599320875,328889.9645473828,62530,100,5070,building_footprint_area
6,303,NA,279398.7928909771,0.608314405966404,0.608314405966404,459299.9773646784,67030,100,5070,building_footprint_area
6,21,NA,2.409613847732544,5.2462746929755255e-6,5.2462746929755255e-6,459299.9773646784,1,100,5070,building_footprint_area
6,190,NA,146670.47605294688,0.31933482099105864,0.31933482099105864,459299.9773646784,44495,100,5070,building_footprint_area
6,409,NA,33199.03507924173,0.07228181300971873,0.07228181300971873,459299.9773646784,16806,100,5070,building_footprint_area
302,446,NA,156483.95661068475,0.8984991735259973,0.8984991735259973,174161.49198734574,40951,100,5070,building_footprint_area
4,216,NA,266673.2407270579,0.7273332060191449,0.7273332060191449,366645.216415485,48167,100,5070,building_footprint_area
4,462,NA,1.3105922937393188,3.574551733014147e-6,3.574551733014147e-6,366645.216415485,1,100,5070,building_footprint_area
5,216,NA,2.9877865314483643,2.366459886643143e-6,2.366459886643143e-6,1262555.3250710631,1,100,5070,building_footprint_area
7,409,NA,248985.0520289343,0.3151073461012889,0.3151073461012889,790159.4650506813,48434,100,5070,building_footprint_area
4,21,NA,21992.092581365258,0.05998194329758733,0.05998194329758733,366645.216415485,6413,100,5070,building_footprint_area
7,22,NA,526065.3853974878,0.6657711622346328,0.6657711622346328,790159.4650506813,80102,100,5070,building_footprint_area
4,312,NA,31526.64613332972,0.08598679246807217,0.08598679246807217,366645.216415485,11359,100,5070,building_footprint_area
1,60,NA,448089.1380102646,0.9774203066509887,0.9774203066509887,458440.5858576719,88707,100,5070,building_footprint_area
4,458,NA,46451.461765154614,0.12669321645401063,0.12669321645401063,366645.216415485,12284,100,5070,building_footprint_area
7,190,NA,0.6220443844795227,7.872390472974015e-7,7.872390472974015e-7,790159.4650506813,1,100,5070,building_footprint_area
6,22,NA,20.959622859954834,4.5633842571068005e-5,4.5633842571068005e-5,459299.9773646784,4,100,5070,building_footprint_area
1,21,NA,0.637071430683136,1.3896488450979382e-6,1.3896488450979382e-6,458440.5858576719,1,100,5070,building_footprint_area
