CZ20,PUMA2010,PUMA2010_name,pop_overlap,share_of_CZ20,afactor,CZ20_total_pop,cells,grid_res_m,crs_epsg,method,state_fips,state
118,G01000400,DeKalb & Jackson Counties PUMA,10.753566592931747,1.3442136385789746e-5,1.3442136385789746e-5,799989.3978385609,6,100,5070,building_footprint_area,01,AL
8,G01000400,DeKalb & Jackson Counties PUMA,123520.65509126568,0.3543010819150975,0.3543010819150975,348631.8879513481,47284,100,5070,building_footprint_area,01,AL
118,G47002100,"Rhea, Marion, Sequatchie, Grundy, Bledsoe & Meigs Counties PUMA",104412.29147144523,0.13051709404343356,0.13051709404343356,799989.3978385609,34514,100,5070,building_footprint_area,47,TN
10,G01000200,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA,208278.2100253753,0.2419116101331162,0.2419116101331162,860968.2268278338,40689,100,5070,building_footprint_area,01,AL
10,G47002200,"Coffee, Franklin, Lincoln & Moore Counties PUMA",35286.74907373637,0.040984960854766356,0.040984960854766356,860968.2268278338,14325,100,5070,building_footprint_area,47,TN
118,G13002600,"Northwest Georgia Regional Commission--Walker, Catoosa, Chattooga & Dade Counties PUMA",151204.8641856364,0.18900858510646135,0.18900858510646135,799989.3978385609,33534,100,5070,building_footprint_area,13,GA
496,G47002800,"Lawrence, Giles, Wayne, Lewis & Perry Counties PUMA",110832.72362376447,0.523602179850427,0.523602179850427,211673.53362704697,42629,100,5070,building_footprint_area,47,TN
496,G01000200,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA,19.142322555184364,9.043323568695042e-5,9.043323568695042e-5,211673.53362704697,5,100,5070,building_footprint_area,01,AL
10,G47002800,"Lawrence, Giles, Wayne, Lewis & Perry Counties PUMA",21.00698582828045,2.4399257921141816e-5,2.4399257921141816e-5,860968.2268278338,9,100,5070,building_footprint_area,47,TN
10,G01000100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA",182113.8770150235,0.2115221808893076,0.2115221808893076,860968.2268278338,48763,100,5070,building_footprint_area,01,AL
496,G01000100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA",2.147285580635071,1.0144327180829458e-5,1.0144327180829458e-5,211673.53362704697,2,100,5070,building_footprint_area,01,AL
10,G01000301,Huntsville (North) & Madison (East) Cities PUMA,135983.74357450008,0.15794281291369014,0.15794281291369014,860968.2268278338,11671,100,5070,building_footprint_area,01,AL
10,G01000302,Huntsville City (Central & South) PUMA,107628.26740524732,0.12500840803590949,0.12500840803590949,860968.2268278338,8666,100,5070,building_footprint_area,01,AL
10,G01000500,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA,35923.97893362492,0.041725092534464193,0.041725092534464193,860968.2268278338,6340,100,5070,building_footprint_area,01,AL
10,G01000600,Morgan & Lawrence Counties--Decatur City PUMA,155728.67966934433,0.18087622146419244,0.18087622146419244,860968.2268278338,39120,100,5070,building_footprint_area,01,AL
8,G01000500,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA,97293.40068710409,0.2790720070353446,0.2790720070353446,348631.8879513481,26647,100,5070,building_footprint_area,01,AL
8,G01001000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA",24853.415031333454,0.07128841592023782,0.07128841592023782,348631.8879513481,11733,100,5070,building_footprint_area,01,AL
110,G01001000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA",6.162175953388214,1.3027482319731701e-5,1.3027482319731701e-5,473013.572549997,4,100,5070,building_footprint_area,01,AL
297,G28000200,"Northeast Region--Marshall, Alcorn, Prentiss, Tippah, Tishomingo & Benton Counties PUMA",99793.83938363357,0.3034262219614074,0.3034262219614074,328889.9645473828,35837,100,5070,building_footprint_area,28,MS
5,G01000700,Cullman & Winston Counties PUMA,110616.14995128498,0.08761291307773696,0.08761291307773696,1262555.3250710631,42470,100,5070,building_footprint_area,01,AL
110,G13002500,"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA",140899.87643236364,0.2978770263880127,0.2978770263880127,473013.572549997,29846,100,5070,building_footprint_area,13,GA
10,G01000700,Cullman & Winston Counties PUMA,2.937082201242447,3.411371186209604e-6,3.411371186209604e-6,860968.2268278338,3,100,5070,building_footprint_area,01,AL
5,G01000800,St. Clair & Blount Counties PUMA,149627.64691268792,0.11851175464668537,0.11851175464668537,1262555.3250710631,42771,100,5070,building_footprint_area,01,AL
8,G01000900,Etowah County PUMA,102960.71673163644,0.2953278810399716,0.2953278810399716,348631.8879513481,25547,100,5070,building_footprint_area,01,AL
12,G01000100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA",7127.407444021199,0.12077854261156519,0.12077854261156519,59012.199434659444,3373,100,5070,building_footprint_area,01,AL
12,G01001400,"Walker, Marion (South & West), Fayette & Lamar Counties PUMA",51879.944937646855,0.8791393209312645,0.8791393209312645,59012.199434659444,21935,100,5070,building_footprint_area,01,AL
297,G28000400,"Three Rivers Region--Lafayette, Monroe, Itawamba, Chickasaw & Calhoun Counties PUMA",87655.20578220498,0.266518335099813,0.266518335099813,328889.9645473828,33009,100,5070,building_footprint_area,28,MS
5,G01000500,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA,0.8233398795127869,6.521218224369257e-7,6.521218224369257e-7,1262555.3250710631,1,100,5070,building_footprint_area,01,AL
6,G01001000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA",132196.43865314638,0.2878215657915961,0.2878215657915961,459299.9773646784,45114,100,5070,building_footprint_area,01,AL
6,G01001100,Calhoun County PUMA,115772.22847275482,0.2520623430835337,0.2520623430835337,459299.9773646784,24745,100,5070,building_footprint_area,01,AL
5,G01001400,"Walker, Marion (South & West), Fayette & Lamar Counties PUMA",64987.41004947992,0.05147292063880218,0.05147292063880218,1262555.3250710631,21974,100,5070,building_footprint_area,01,AL
5,G01001304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA",182361.43229794852,0.1444383692949727,0.1444383692949727,1262555.3250710631,26975,100,5070,building_footprint_area,01,AL
6,G13002500,"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA",29800.29022701271,0.06488197625873526,0.06488197625873526,459299.9773646784,9379,100,5070,building_footprint_area,13,GA
12,G28000400,"Three Rivers Region--Lafayette, Monroe, Itawamba, Chickasaw & Calhoun Counties PUMA",0.6809443831443787,1.1539044293686194e-5,1.1539044293686194e-5,59012.199434659444,1,100,5070,building_footprint_area,28,MS
6,G13002300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,118820.91799021466,0.25870003014581544,0.25870003014581544,459299.9773646784,26071,100,5070,building_footprint_area,13,GA
5,G01001305,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA",117752.85509737139,0.09326550113021277,0.09326550113021277,1262555.3250710631,17678,100,5070,building_footprint_area,01,AL
5,G01001302,Birmingham City (East) PUMA,99189.42979294737,0.07856244223385972,0.07856244223385972,1262555.3250710631,7023,100,5070,building_footprint_area,01,AL
5,G01001303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA",183926.55532271555,0.14567801637711458,0.14567801637711458,1262555.3250710631,15936,100,5070,building_footprint_area,01,AL
302,G28000600,"Golden Triangle Region--Starkville, Columbus & West Point Cities PUMA",174156.19503968768,0.9999695859997659,0.9999695859997659,174161.49198734574,48594,100,5070,building_footprint_area,28,MS
5,G01001200,Shelby County PUMA,222179.16928225756,0.17597578883899775,0.17597578883899775,1262555.3250710631,31807,100,5070,building_footprint_area,01,AL
4,G01001500,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West) PUMA,124232.60905308183,0.33883602864819745,0.33883602864819745,366645.216415485,30774,100,5070,building_footprint_area,01,AL
5,G01001301,Birmingham City (West) PUMA,87095.44608990126,0.06898346896996302,0.06898346896996302,1262555.3250710631,6805,100,5070,building_footprint_area,01,AL
6,G13002200,"Three Rivers Regional Commission (Southwest)--Troup, Meriwether & Heard Counties PUMA",11398.861674623564,0.024817901668592966,0.024817901668592966,459299.9773646784,5243,100,5070,building_footprint_area,13,GA
5,G01001500,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West) PUMA,12.539083361625671,9.931512000014658e-6,9.931512000014658e-6,1262555.3250710631,2,100,5070,building_footprint_area,01,AL
4,G01001600,Tuscaloosa & Northport (Southeast) Cities PUMA,120117.05704474635,0.3276111392344714,0.3276111392344714,366645.216415485,8923,100,5070,building_footprint_area,01,AL
7,G01001800,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA",34350.032215366606,0.04347227836239787,0.04347227836239787,790159.4650506813,9159,100,5070,building_footprint_area,01,AL
4,G01001700,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties PUMA",122292.42718989833,0.3335443139978558,0.3335443139978558,366645.216415485,38525,100,5070,building_footprint_area,01,AL
6,G01001800,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA",51282.36828024965,0.11165332202821358,0.11165332202821358,459299.9773646784,17781,100,5070,building_footprint_area,01,AL
5,G01001800,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA",44805.86785122752,0.03548824115783252,0.03548824115783252,1262555.3250710631,15800,100,5070,building_footprint_area,01,AL
7,G13002200,"Three Rivers Regional Commission (Southwest)--Troup, Meriwether & Heard Counties PUMA",89642.33145949594,0.11344840557436875,0.11344840557436875,790159.4650506813,22025,100,5070,building_footprint_area,13,GA
302,G01001500,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West) PUMA,5.296947658061981,3.0414000234029048e-5,3.0414000234029048e-5,174161.49198734574,2,100,5070,building_footprint_area,01,AL
