state,CZ20,PUMA20,PUMA20_name,pop_overlap,share_of_CZ20,CZ20_total_pop,cells,grid_res_m,crs_epsg,method
AL,118,G01000600,DeKalb & Jackson Counties PUMA,6.0613062381744385,7.576797274637731e-6,799982.6336206477,3,100,5070,building_footprint_area
AL,8,G01000600,DeKalb & Jackson Counties PUMA,123514.67771361256,0.35428393667434444,348631.8879513481,47277,100,5070,building_footprint_area
AL,118,G47003300,"Warren, Marion & Sequatchie Counties--McMinnville city PUMA",3.774847686290741,4.718662040457214e-6,799982.6336206477,2,100,5070,building_footprint_area
AL,10,G01000401,Madison County (North & East)--Huntsville City (East) PUMA,113007.47850588709,0.13125627053887204,860968.2268278338,21090,100,5070,building_footprint_area
AL,10,G47003100,"Bedford, Lincoln & Marshall Counties--Shelbyville & Lewisburg cities PUMA",20.316277608275414,2.359701203275417e-5,860968.2268278338,10,100,5070,building_footprint_area
AL,118,G13000100,"Northwest Georgia Regional Commission--Walker, Catoosa, Chattooga & Dade Counties PUMA",9.500940516591072,1.1876433459049843e-5,799982.6336206477,5,100,5070,building_footprint_area
AL,10,G01000200,Limestone County PUMA,100823.648732103,0.1171049588015337,860968.2268278338,21232,100,5070,building_footprint_area
AL,496,G47003000,"Lawrence, Giles & Wayne Counties--Lawrenceburg city PUMA",12.269650667905807,5.796497303023258e-5,211673.53362704697,10,100,5070,building_footprint_area
AL,496,G01000200,Limestone County PUMA,14.961563348770142,7.068225815671081e-5,211673.53362704697,2,100,5070,building_footprint_area
AL,10,G47003000,"Lawrence, Giles & Wayne Counties--Lawrenceburg city PUMA",11.851957142353058,1.3765847301962133e-5,860968.2268278338,3,100,5070,building_footprint_area
AL,10,G01000100,"Lauderdale, Colbert & Franklin Counties PUMA",182109.59317222144,0.21151720527851436,860968.2268278338,48760,100,5070,building_footprint_area
AL,496,G01000100,"Lauderdale, Colbert & Franklin Counties PUMA",1.3585433959960938,6.4181070383118664e-6,211673.53362704697,1,100,5070,building_footprint_area
AL,10,G01000402,"Huntsville (North & Far West), Madison (East) & Triana Cities PUMA",152715.89578289725,0.17737692405394137,860968.2268278338,13026,100,5070,building_footprint_area
AL,10,G01000403,Huntsville City (Central & South) PUMA,107711.54807231389,0.12510513711890178,860968.2268278338,8672,100,5070,building_footprint_area
AL,10,G01000300,Morgan & Lawrence Counties--Decatur City PUMA,155728.67966934433,0.18087622146419244,860968.2268278338,39120,100,5070,building_footprint_area
AL,10,G01000501,Marshall & Madison (Far Southeast) Counties PUMA,13546.85499196127,0.015734442421729705,860968.2268278338,3337,100,5070,building_footprint_area
AL,8,G01000501,Marshall & Madison (Far Southeast) Counties PUMA,97293.40068710409,0.2790720070353446,348631.8879513481,26647,100,5070,building_footprint_area
AL,8,G01000700,Etowah & Cherokee Counties PUMA,127810.42215429584,0.36660565648582294,348631.8879513481,37278,100,5070,building_footprint_area
AL,110,G01000700,Etowah & Cherokee Counties PUMA,5.473827958106995,1.1572242903301506e-5,473013.572549997,3,100,5070,building_footprint_area
AL,297,G28000200,"Northeast Region--Alcorn, Benton, Marshall, Prentiss, Tippah & Tishomingo Counties PUMA",0.2905442416667938,8.834086563469329e-7,328889.9645473828,1,100,5070,building_footprint_area
AL,5,G01001000,"Cullman, Marion & Winston Counties PUMA",110616.14995128498,0.08761291307773696,1262555.3250710631,42470,100,5070,building_footprint_area
AL,110,G13001000,"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA",5.786069095134735,1.2232353215452722e-5,473013.572549997,4,100,5070,building_footprint_area
AL,10,G01001000,"Cullman, Marion & Winston Counties PUMA",4.798716217279434,5.573627536709348e-6,860968.2268278338,4,100,5070,building_footprint_area
AL,5,G01000900,St. Clair & Blount Counties PUMA,149140.94996940484,0.11812626901004154,1262555.3250710631,42739,100,5070,building_footprint_area
AL,12,G01001000,"Cullman, Marion & Winston Counties PUMA",28920.280749529134,0.4900729175761492,59012.199434659444,11418,100,5070,building_footprint_area
AL,297,G28000400,"Three Rivers Region--Calhoun, Chickasaw, Itawamba, Lafayette & Monroe Counties PUMA",2.244203209877014,6.823568523793296e-6,328889.9645473828,2,100,5070,building_footprint_area
AL,5,G01000501,Marshall & Madison (Far Southeast) Counties PUMA,0.8233398795127869,6.521218224369257e-7,1262555.3250710631,1,100,5070,building_footprint_area
AL,6,G01001600,"Talladega, Randolph, Cleburne & Clay Counties PUMA",132157.69805300748,0.28773721873727837,459299.9773646784,45094,100,5070,building_footprint_area
AL,6,G01000800,Calhoun County PUMA,115772.22847275482,0.2520623430835337,459299.9773646784,24745,100,5070,building_footprint_area
AL,5,G01001301,"Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities PUMA",114916.81200317899,0.0910192287983189,1262555.3250710631,33314,100,5070,building_footprint_area
AL,12,G01001100,West Alabama PUMA,30075.670856497716,0.5096517524278796,59012.199434659444,13884,100,5070,building_footprint_area
AL,6,G13001000,"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA",2.2628426551818848,4.926720589374678e-6,459299.9773646784,1,100,5070,building_footprint_area
AL,5,G01001100,West Alabama PUMA,1.6857831478118896,1.3352152688572321e-6,1262555.3250710631,1,100,5070,building_footprint_area
AL,5,G01001402,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA",132917.04150438472,0.10527621155683095,1262555.3250710631,15666,100,5070,building_footprint_area
AL,12,G28000400,"Three Rivers Region--Calhoun, Chickasaw, Itawamba, Lafayette & Monroe Counties PUMA",0.6809443831443787,1.1539044293686194e-5,59012.199434659444,1,100,5070,building_footprint_area
AL,6,G13002600,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,3.1063809394836426,6.763294344813815e-6,459299.9773646784,3,100,5070,building_footprint_area
AL,5,G01001401,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA",117781.94785268907,0.09328854388702507,1262555.3250710631,17682,100,5070,building_footprint_area
AL,5,G01001403,Birmingham City PUMA,186346.9448733176,0.14759507260628682,1262555.3250710631,13828,100,5070,building_footprint_area
AL,5,G01001404,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA",183872.40945322206,0.14563513043903464,1262555.3250710631,15937,100,5070,building_footprint_area
AL,302,G28000600,"Golden Triangle Region--Columbus, Starkville, & West Point Cities PUMA",8.244045972824097,4.733564164357925e-5,174161.49198734574,7,100,5070,building_footprint_area
AL,5,G01001501,"Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities PUMA",137123.33562658355,0.10860778367780877,1262555.3250710631,15146,100,5070,building_footprint_area
AL,4,G01001201,Tuscaloosa County (Outer)--Northport City (North & West) PUMA,100069.43732559867,0.2729326139965215,366645.216415485,21865,100,5070,building_footprint_area
AL,5,G01001502,Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities PUMA,129824.68563060835,0.10282692809782505,1262555.3250710631,32456,100,5070,building_footprint_area
AL,4,G01001100,West Alabama PUMA,94872.81872784556,0.25875918866574,366645.216415485,34518,100,5070,building_footprint_area
AL,6,G13002700,"Three Rivers Regional Commission (Southwest)--Troup, Meriwether & Heard Counties PUMA",1.0644274950027466,2.3174995590248084e-6,459299.9773646784,1,100,5070,building_footprint_area
AL,5,G01001201,Tuscaloosa County (Outer)--Northport City (North & West) PUMA,12.539083361625671,9.931512000014658e-6,1262555.3250710631,2,100,5070,building_footprint_area
AL,4,G01001202,Tuscaloosa & Northport (Southeast) Cities PUMA,125222.00444879569,0.34153453759203883,366645.216415485,9546,100,5070,building_footprint_area
AL,7,G01002000,"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties PUMA",53679.69398156693,0.06793526668458484,790159.4650506813,15049,100,5070,building_footprint_area
AL,6,G01002000,"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties PUMA",51311.240346926264,0.11171618305172654,459299.9773646784,17786,100,5070,building_footprint_area
AL,7,G13002700,"Three Rivers Regional Commission (Southwest)--Troup, Meriwether & Heard Counties PUMA",210.50731545686722,2.6641117998044253e-4,790159.4650506813,4,100,5070,building_footprint_area
AL,302,G01001100,West Alabama PUMA,0.9630157351493835,5.529441233882829e-6,174161.49198734574,1,100,5070,building_footprint_area
AL,7,G01002201,Lee (East) & Russell Counties--Phenix City & Smiths Station Cities PUMA,104353.99745318992,0.13206700934285032,790159.4650506813,19505,100,5070,building_footprint_area
AL,7,G01002101,Lee County (West)--Auburn & Opelika Cities PUMA,126703.15647219121,0.16035137472416963,790159.4650506813,15893,100,5070,building_footprint_area
AL,1,G01001901,Elmore & Montgomery (South & Far East) Counties PUMA,100023.27306346036,0.21818154009277382,458440.5858576719,27173,100,5070,building_footprint_area
AL,4,G01001700,"Autauga, Dallas, Lowndes & Perry Counties PUMA",46473.4724070722,0.12675324898936666,366645.216415485,12292,100,5070,building_footprint_area
AL,1,G01001700,"Autauga, Dallas, Lowndes & Perry Counties PUMA",68761.53441365971,0.14999006749155389,458440.5858576719,17666,100,5070,building_footprint_area
AL,4,G28001400,"East Central Region--Jasper, Leake, Kemper, Neshoba, Scott & Smith Counties PUMA",0.4444666802883148,1.2122527729494278e-6,366645.216415485,1,100,5070,building_footprint_area
AL,1,G01001802,Montgomery City (East) & Pike Road Town (Northwest) PUMA,105465.63482022285,0.2300530059373187,458440.5858576719,8984,100,5070,building_footprint_area
AL,1,G01001801,Montgomery City (West) PUMA,109101.12972159125,0.23798313911819083,458440.5858576719,10271,100,5070,building_footprint_area
AL,1,G01002000,"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties PUMA",10268.628817539662,0.02239903955782762,458440.5858576719,3485,100,5070,building_footprint_area
AL,3,G01002201,Lee (East) & Russell Counties--Phenix City & Smiths Station Cities PUMA,0.8868630528450012,2.9082824926409314e-6,304943.9162423542,1,100,5070,building_footprint_area
AL,3,G01002500,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",25049.361656102585,0.08214415937452119,304943.9162423542,8232,100,5070,building_footprint_area
AL,7,G01002500,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",0.25499486923217773,3.2271317437907576e-7,790159.4650506813,1,100,5070,building_footprint_area
AL,9,G01002600,Southwest Alabama PUMA,12549.354446522426,0.06015034987596933,208633.10807666671,6731,100,5070,building_footprint_area
AL,2,G01002600,Southwest Alabama PUMA,48647.38277767156,0.07073446575943262,687746.5215206535,21859,100,5070,building_footprint_area
AL,1,G01002500,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",64820.385021198075,0.14139320780233516,458440.5858576719,24644,100,5070,building_footprint_area
AL,3,G01002300,"Houston, Geneva & Henry Counties--Dothan City PUMA",150239.30735896807,0.4926784872781832,304943.9162423542,38757,100,5070,building_footprint_area
AL,2,G01002500,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",3.5807528495788574,5.206500851013501e-6,687746.5215206535,1,100,5070,building_footprint_area
AL,2,G01001100,West Alabama PUMA,1.3755154609680176,2.0000325962051556e-6,687746.5215206535,1,100,5070,building_footprint_area
AL,11,G01002600,Southwest Alabama PUMA,67638.6845041071,0.6437392503699885,105071.55570400879,25741,100,5070,building_footprint_area
AL,3,G01002400,Coffee & Dale Counties PUMA,101933.16795864038,0.3342685737584251,304943.9162423542,26583,100,5070,building_footprint_area
AL,11,G01002500,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",37427.80756930588,0.3562125574188857,105071.55570400879,15355,100,5070,building_footprint_area
AL,304,G28001700,"South Region--Covington, Greene, Jefferson Davis, Jones & Wayne Counties PUMA",3.979126214981079,1.2238117679929678e-5,325142.0127710313,3,100,5070,building_footprint_area
AL,3,G13003900,Southwest Georgia Regional Commission (West & Central) PUMA,10.622469812631607,3.4834175226468195e-5,304943.9162423542,7,100,5070,building_footprint_area
AL,2,G01002701,"Baldwin County (North)--Daphne, Fairhope & Spanish Fort Cities PUMA",115070.30367005034,0.16731499188919519,687746.5215206535,19914,100,5070,building_footprint_area
AL,305,G01002600,Southwest Alabama PUMA,7.874020099639893,1.740572940435686e-5,452380.93254907965,2,100,5070,building_footprint_area
AL,305,G28001700,"South Region--Covington, Greene, Jefferson Davis, Jones & Wayne Counties PUMA",5.03801916539669,1.11366744327804e-5,452380.93254907965,4,100,5070,building_footprint_area
AL,94,G01002300,"Houston, Geneva & Henry Counties--Dothan City PUMA",4.981406718492508,1.6676901309544222e-5,298700.9772397969,4,100,5070,building_footprint_area
AL,94,G12005998,"Holmes, Walton, & Washington Counties PUMA",7.498536758124828,2.5103823989517816e-5,298700.9772397969,6,100,5070,building_footprint_area
AL,2,G01002801,Mobile County (Outer)--Prichard & Saraland Cities PUMA,138323.1614356218,0.20112520690003644,687746.5215206535,30943,100,5070,building_footprint_area
AL,100,G01002500,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",2.180726706981659,2.7770315177181947e-6,785272.5808360642,2,100,5070,building_footprint_area
AL,100,G12005998,"Holmes, Walton, & Washington Counties PUMA",5.768468856811523,7.345817232877212e-6,785272.5808360642,2,100,5070,building_footprint_area
AL,100,G12009101,Okaloosa County (North) PUMA,0.8159260153770447,1.0390354066715845e-6,785272.5808360642,1,100,5070,building_footprint_area
AL,100,G01002600,Southwest Alabama PUMA,42.34385150671005,5.3922488241761084e-5,785272.5808360642,15,100,5070,building_footprint_area
AL,100,G12011300,Santa Rosa County PUMA,5.420498847961426,6.902697203804477e-6,785272.5808360642,2,100,5070,building_footprint_area
