code_from,pop_from
1,189243.43174462533
2,208297.3523479305
3,135983.74357450008
4,107628.26740524732
5,123531.40865785861
6,133218.20296060853
7,155728.67966934433
8,110619.08703348623
9,149627.64691268792
10,102960.71673163644
11,157056.01586043322
12,115772.22847275482
13,222179.16928225756
14,87095.44608990126
15,99189.42979294737
16,183926.55532271555
17,182361.43229794852
18,117752.85509737139
19,116867.35498712678
20,124250.44508410152
21,120117.05704474635
22,122293.8027053593
23,130438.26834684378
24,172649.22144216485
25,196223.49763448536
26,187129.77782049566
27,128904.93869439815
28,122373.54298806167
29,145943.29516977654
30,199214.07876678614
31,225492.7484499754
32,98867.28753813659
33,110406.02555319201
34,204136.9483209313
40,179343.73295411933
41,185692.7498256804
42,143922.78734877316
43,114745.06468195468
44,106589.52844687551
45,152985.1650734106
46,122086.95249192417
47,128246.29626223445
48,107951.60595905641
49,117241.42247520387
50,128188.48024293734
51,111557.11990498751
52,128403.6791728111
53,104556.13773252256
54,111340.8173284512
55,109514.47990288492
56,110707.46712969244
57,105152.52167600393
58,118150.34103800147
59,117109.67059991881
60,108445.96688727848
61,151199.70870799967
62,112186.72473950777
63,121171.67236924917
64,114367.90842745942
65,114454.32130373921
66,130132.38645498827
67,120520.04019628477
68,109943.07564071007
69,139315.5751820011
70,126557.21185333468
71,123502.97717376053
72,146969.95558511838
73,121797.8906189464
74,164929.2390667647
75,104147.13934125751
76,129814.43558589928
77,119917.97624554113
78,109542.64077639394
79,147662.15743954387
80,103317.29884809256
81,102568.8456080514
82,102815.81986058783
83,119358.6151498314
84,170638.85685053794
85,140581.5813106409
86,231845.4254444203
87,226725.0493572813
88,199556.92317643634
89,109468.3966828339
90,147177.24765767588
91,123620.6892765807
92,143397.87429206073
93,169932.81213216763
94,283873.18789911736
95,245462.30560855288
96,154702.58850354655
97,132665.11728162575
98,195444.8265092898
99,97533.00847927644
100,94003.27876128681
101,107731.9953830149
102,209550.84304556926
103,188209.7704218449
104,196048.90903630387
105,122295.2729620738
106,139085.07970762043
107,187385.84620046854
108,95265.03585754894
109,162016.309342026
110,94364.1149200208
111,95296.87400569057
112,94805.04389944661
113,98809.14200468524
114,143366.6373510398
115,180697.28599557467
116,134098.6929824073
117,139181.3030603286
118,174471.24186638743
119,145642.43149901181
120,163391.6005989248
121,144682.9974571506
122,201158.0881213732
123,243658.24159959238
124,190830.95255458623
125,124452.99990032241
126,86169.46609097626
127,131794.9718247318
128,128649.29888374684
129,127986.51542839548
130,135819.02261749655
131,127969.68571335077
132,143882.58869409468
133,117849.52203002106
134,137225.10527831502
135,120131.78813674673
136,125529.22856730781
137,131854.41129430803
138,190292.00247416645
139,145319.0017489181
140,184153.98339694366
141,110477.50493693165
142,179899.3932173344
143,116522.83412212727
144,129651.01879609842
145,133199.58914650776
146,135261.96760087367
147,175859.08358464652
148,203984.92507844642
149,227942.3221632815
150,168137.9980264604
151,113830.64304391295
152,191241.66694950138
153,151496.79493525252
154,158530.18041258014
155,141253.27561818212
156,203577.9097032016
157,180530.4753842936
158,180901.74717788398
159,179291.69392373972
160,142872.95971132908
161,148399.42595790885
162,137117.8199926354
163,110951.40250723064
164,173712.27971908636
165,169930.91875628754
166,149492.9957355596
167,113116.06811251608
168,108071.96019987995
169,122145.9212128073
170,106629.17750012875
171,190375.23737613857
172,136708.40865616268
173,195184.38706438057
174,122846.23611734621
175,135538.78494679555
176,166101.8536823131
177,142712.78951247782
178,173493.6763289841
179,179808.82223415188
180,97515.64777946705
181,159362.8505839482
182,106560.22999432217
183,208048.13356174715
184,167367.7509249933
185,109398.8251068471
186,172177.64731150866
187,113342.28935548663
188,191998.845702596
189,182641.39579944313
190,115674.11831626296
191,126463.40154750273
192,126602.48227117979
193,168140.99094920047
194,127605.49912266992
195,134937.94828203134
196,127593.15089511639
197,115272.59795126878
198,188783.34083225392
199,121641.11120904982
200,108858.8802510947
201,158129.24929831736
202,193877.49212280847
203,111029.24614037201
204,178119.6760164518
205,156829.08939615125
206,165966.0263622366
207,112673.17362832837
208,137666.66214093845
209,117778.59087946871
210,118705.09319029376
211,160772.4345293285
212,157241.16394706303
213,114300.20746783935
214,143834.89586582454
215,126214.46412073448
216,116916.14349411777
217,146030.95900935493
218,161872.62258783437
219,134767.40363082942
220,101874.61451301491
221,178676.62693215348
222,108629.267512694
223,97700.67702296283
224,155642.50431241468
225,107986.16018389352
226,152527.9557580417
227,115072.09605687918
228,162229.94360222522
229,182446.16929530073
230,177082.8751636725
231,141039.79950459558
232,138302.22597459948
233,104836.1710403962
234,178264.6247189995
235,106466.10686245002
236,213533.4956104486
237,265936.05037188437
238,228205.08492543176
239,190843.1077538589
240,197303.27798131827
241,185061.35665376927
242,147276.1789886058
243,200351.02099311934
244,141370.0280795535
245,170094.9219086431
246,159633.4015570311
247,196073.10519315023
248,113685.87461129995
249,144698.8533062227
250,155343.68967829365
251,179871.12414747942
252,153654.23421201808
253,134484.2660541879
254,115941.50839341339
255,185868.44427175773
256,131454.64420481026
257,139865.9817306921
258,145874.53443491273
259,220495.48155218456
260,171685.5938586872
261,173675.49515838362
262,196284.34282689635
263,132951.6076168036
264,155366.5522221307
265,170311.78205633909
266,104396.0588831529
267,147162.46454208624
268,174154.74507871317
