PUMA2010,PUMA2010_name,CZ20,CZ20_name,pop_overlap,share_of_PUMA2010,afactor,PUMA2010_total_pop,cells,grid_res_m,crs_epsg,method,PUMA2010_state_fips,PUMA2010_state
G01000400,DeKalb & Jackson Counties PUMA,118,NA,10.753566592931747,8.705127473058768e-5,8.705127473058768e-5,123531.40865785861,6,100,5070,building_footprint_area,01,AL
G01000400,DeKalb & Jackson Counties PUMA,8,NA,123520.65509126568,0.9999129487252694,0.9999129487252694,123531.40865785861,47284,100,5070,building_footprint_area,01,AL
G47002100,"Rhea, Marion, Sequatchie, Grundy, Bledsoe & Meigs Counties PUMA",118,NA,104412.29147144523,0.8861828581585828,0.8861828581585828,117822.51316438871,34514,100,5070,building_footprint_area,47,TN
G01000200,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA,10,NA,208278.2100253753,0.9999081009799721,0.9999081009799721,208297.3523479305,40689,100,5070,building_footprint_area,01,AL
G47002200,"Coffee, Franklin, Lincoln & Moore Counties PUMA",10,NA,35286.74907373637,0.2483379228809021,0.2483379228809021,142091.66551924165,14325,100,5070,building_footprint_area,47,TN
G13002600,"Northwest Georgia Regional Commission--Walker, Catoosa, Chattooga & Dade Counties PUMA",118,NA,151204.8641856364,0.8587110079266211,0.8587110079266211,176083.52843959024,33534,100,5070,building_footprint_area,13,GA
G47002800,"Lawrence, Giles, Wayne, Lewis & Perry Counties PUMA",496,NA,110832.72362376447,0.9997824957560135,0.9997824957560135,110856.83545595105,42629,100,5070,building_footprint_area,47,TN
G01000200,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA,496,NA,19.142322555184364,9.189902002791612e-5,9.189902002791612e-5,208297.3523479305,5,100,5070,building_footprint_area,01,AL
G47002800,"Lawrence, Giles, Wayne, Lewis & Perry Counties PUMA",10,NA,21.00698582828045,1.8949653164714026e-4,1.8949653164714026e-4,110856.83545595105,9,100,5070,building_footprint_area,47,TN
G01000100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA",10,NA,182113.8770150235,0.9623260122484841,0.9623260122484841,189243.43174462533,48763,100,5070,building_footprint_area,01,AL
G01000100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA",496,NA,2.147285580635071,1.1346684853679502e-5,1.1346684853679502e-5,189243.43174462533,2,100,5070,building_footprint_area,01,AL
G01000301,Huntsville (North) & Madison (East) Cities PUMA,10,NA,135983.74357450008,1,1,135983.74357450008,11671,100,5070,building_footprint_area,01,AL
G01000302,Huntsville City (Central & South) PUMA,10,NA,107628.26740524732,1,1,107628.26740524732,8666,100,5070,building_footprint_area,01,AL
G01000500,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA,10,NA,35923.97893362492,0.26966268974704105,0.26966268974704105,133218.20296060853,6340,100,5070,building_footprint_area,01,AL
G01000600,Morgan & Lawrence Counties--Decatur City PUMA,10,NA,155728.67966934433,1,1,155728.67966934433,39120,100,5070,building_footprint_area,01,AL
G01000500,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA,8,NA,97293.40068710409,0.7303311298672368,0.7303311298672368,133218.20296060853,26647,100,5070,building_footprint_area,01,AL
G01001000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA",8,NA,24853.415031333454,0.15824554631144644,0.15824554631144644,157056.01586043322,11733,100,5070,building_footprint_area,01,AL
G01001000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA",110,NA,6.162175953388214,3.92355295633132e-5,3.92355295633132e-5,157056.01586043322,4,100,5070,building_footprint_area,01,AL
