PUMA2020,state_fips,CZ90,afactor,PUMA20_GISJOIN,CZ90_name,pop_overlap,share_of_PUMA20,PUMA20_total_pop,cells,grid_res_m,crs_epsg,method,PUMA20_name,state,PUMA200_GEOID
00600,01,6401,7.62281427946009e-5,G01000600,"Chattanooga city, TN",9.416569858789444,7.62281427946009e-5,123531.4086578586,7,100,5070,building_footprint_area,DeKalb & Jackson Counties PUMA,AL,0100600
00600,01,6100,0.9998752820217264,G01000600,"Gadsden city, AL",123516.00207031753,0.9998752820217264,123531.4086578586,47275,100,5070,building_footprint_area,DeKalb & Jackson Counties PUMA,AL,0100600
03300,47,6401,0.5524133759042207,G47003300,"Chattanooga city, TN",57617.12394649186,0.5524133759042207,104300.74009736092,18818,100,5070,building_footprint_area,"Warren, Marion & Sequatchie Counties--McMinnville city PUMA",TN,4703300
00401,01,6000,0.9999835515470435,G01000401,"Huntsville city, AL",113010.16813097148,0.9999835515470435,113012.02700398116,21094,100,5070,building_footprint_area,Madison County (North & East)--Huntsville City (East) PUMA,AL,0100401
03100,47,6000,0.29474297385420484,G47003100,"Huntsville city, AL",35259.226154617965,0.29474297385420484,119627.02857188042,14316,100,5070,building_footprint_area,"Bedford, Lincoln & Marshall Counties--Shelbyville & Lewisburg cities PUMA",TN,4703100
00100,13,6100,2.2664741733183124e-4,G13000100,"Gadsden city, AL",39.908876955509186,2.2664741733183124e-4,176083.52843959024,18,100,5070,building_footprint_area,"Northwest Georgia Regional Commission--Walker, Catoosa, Chattooga & Dade Counties PUMA",GA,1300100
00200,01,6000,0.999810184542522,G01000200,"Huntsville city, AL",100827.87408759404,0.999810184542522,100847.01641014924,21236,100,5070,building_footprint_area,Limestone County PUMA,AL,0100200
03000,47,5500,0.3851654260559768,G47003000,"Columbia city, TN",42698.2202596087,0.3851654260559768,110856.83545595103,16887,100,5070,building_footprint_area,"Lawrence, Giles & Wayne Counties--Lawrenceburg city PUMA",TN,4703000
00200,01,5500,1.898154574780051e-4,G01000200,"Columbia city, TN",19.142322555184364,1.898154574780051e-4,100847.01641014924,5,100,5070,building_footprint_area,Limestone County PUMA,AL,0100200
03000,47,6000,9.82540433096468e-5,G47003000,"Huntsville city, AL",10.892132312059402,9.82540433096468e-5,110856.83545595103,5,100,5070,building_footprint_area,"Lawrence, Giles & Wayne Counties--Lawrenceburg city PUMA",TN,4703000
00100,01,6200,0.9999870528449714,G01000100,"Florence city, AL",182111.80480629113,0.9999870528449714,182114.1626665881,48760,100,5070,building_footprint_area,"Lauderdale, Colbert & Franklin Counties PUMA",AL,0100100
03000,47,6200,0.5410015794373654,G47003000,"Florence city, AL",59973.723073097644,0.5410015794373654,110856.83545595103,22165,100,5070,building_footprint_area,"Lawrence, Giles & Wayne Counties--Lawrenceburg city PUMA",TN,4703000
00100,01,6000,7.21021914828691e-6,G01000100,"Huntsville city, AL",1.3130830228328705,7.21021914828691e-6,182114.1626665881,3,100,5070,building_footprint_area,"Lauderdale, Colbert & Franklin Counties PUMA",AL,0100100
00402,01,6000,1,G01000402,"Huntsville city, AL",152715.89578289725,1,152715.89578289725,13026,100,5070,building_footprint_area,"Huntsville (North & Far West), Madison (East) & Triana Cities PUMA",AL,0100402
00403,01,6000,1,G01000403,"Huntsville city, AL",107711.54807231388,1,107711.54807231388,8672,100,5070,building_footprint_area,Huntsville City (Central & South) PUMA,AL,0100403
00300,01,6000,0.9993598662004264,G01000300,"Huntsville city, AL",155628.99247792503,0.9993598662004264,155728.67966934433,39076,100,5070,building_footprint_area,Morgan & Lawrence Counties--Decatur City PUMA,AL,0100300
00401,01,6100,1.6448452956393902e-5,G01000401,"Gadsden city, AL",1.8588730096817017,1.6448452956393902e-5,113012.02700398116,1,100,5070,building_footprint_area,Madison County (North & East)--Huntsville City (East) PUMA,AL,0100401
00100,13,6401,0.8585878027036458,G13000100,"Chattanooga city, TN",151183.1697752527,0.8585878027036458,176083.52843959024,33515,100,5070,building_footprint_area,"Northwest Georgia Regional Commission--Walker, Catoosa, Chattooga & Dade Counties PUMA",GA,1300100
00501,01,6000,0.1223041376190235,G01000501,"Huntsville city, AL",13556.322582174093,0.1223041376190235,110841.07901894487,3339,100,5070,building_footprint_area,Marshall & Madison (Far Southeast) Counties PUMA,AL,0100501
00501,01,6100,0.8776828446731364,G01000501,"Gadsden city, AL",97283.31353998744,0.8776828446731364,110841.07901894487,26644,100,5070,building_footprint_area,Marshall & Madison (Far Southeast) Counties PUMA,AL,0100501
00700,01,6600,0.19432187676592952,G01000700,"Rome city, GA",24838.279406984337,0.19432187676592952,127820.29393892328,11730,100,5070,building_footprint_area,Etowah & Cherokee Counties PUMA,AL,0100700
00700,01,6100,0.8056536033394804,G01000700,"Gadsden city, AL",102978.88039180508,0.8056536033394804,127820.29393892328,25552,100,5070,building_footprint_area,Etowah & Cherokee Counties PUMA,AL,0100700
00600,01,6600,4.848983547904241e-5,G01000600,"Rome city, GA",5.990017682313919,4.848983547904241e-5,123531.4086578586,8,100,5070,building_footprint_area,DeKalb & Jackson Counties PUMA,AL,0100600
00200,28,5100,0.5542466581506644,G28000200,"Corinth city, MS",78054.47523289663,0.5542466581506644,140829.85271095415,27103,100,5070,building_footprint_area,"Northeast Region--Alcorn, Benton, Marshall, Prentiss, Tippah & Tishomingo Counties PUMA",MS,2800200
00300,01,6200,5.099117079563869e-5,G01000300,"Florence city, AL",7.940787702798843,5.099117079563869e-5,155728.67966934433,10,100,5070,building_footprint_area,Morgan & Lawrence Counties--Decatur City PUMA,AL,0100300
01000,01,6100,7.207748392424931e-5,G01001000,"Gadsden city, AL",10.058199167251589,7.207748392424931e-5,139547.03493565856,3,100,5070,building_footprint_area,"Cullman, Marion & Winston Counties PUMA",AL,0101000
01000,01,10700,0.625136068716858,G01001000,"Birmingham city, AL",87235.88482077164,0.625136068716858,139547.03493565856,31234,100,5070,building_footprint_area,"Cullman, Marion & Winston Counties PUMA",AL,0101000
00501,01,10700,1.3017707840116564e-5,G01000501,"Birmingham city, AL",1.4428967833518982,1.3017707840116564e-5,110841.07901894487,2,100,5070,building_footprint_area,Marshall & Madison (Far Southeast) Counties PUMA,AL,0100501
01000,01,6000,2.6434122631647155e-5,G01001000,"Huntsville city, AL",3.688803434371948,2.6434122631647155e-5,139547.03493565856,2,100,5070,building_footprint_area,"Cullman, Marion & Winston Counties PUMA",AL,0101000
01000,13,6600,0.8254461287354976,G13001000,"Rome city, GA",140904.96332246508,0.8254461287354976,170701.5859875891,29848,100,5070,building_footprint_area,"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA",GA,1301000
00300,01,10700,5.891426287778714e-4,G01000300,"Birmingham city, AL",91.74640371650456,5.891426287778714e-4,155728.67966934433,34,100,5070,building_footprint_area,Morgan & Lawrence Counties--Decatur City PUMA,AL,0100300
00900,01,10700,0.9998546976576856,G01000900,"Birmingham city, AL",149119.2794400393,0.9998546976576856,149140.94996940484,42730,100,5070,building_footprint_area,St. Clair & Blount Counties PUMA,AL,0100900
01000,01,10600,0.3746051448274779,G01001000,"Birmingham city, AL",52275.037232317496,0.3746051448274779,139547.03493565856,22638,100,5070,building_footprint_area,"Cullman, Marion & Winston Counties PUMA",AL,0101000
01000,01,6200,1.6027484910819523e-4,G01001000,"Florence city, AL",22.365879967808723,1.6027484910819523e-4,139547.03493565856,17,100,5070,building_footprint_area,"Cullman, Marion & Winston Counties PUMA",AL,0101000
00100,01,10600,5.736935880404522e-6,G01000100,"Birmingham city, AL",1.044777274131775,5.736935880404522e-6,182114.1626665881,1,100,5070,building_footprint_area,"Lauderdale, Colbert & Franklin Counties PUMA",AL,0100100
00400,28,5000,0.6137960167632233,G28000400,"Tupelo city, MS",87644.5848709048,0.6137960167632233,142791.06165121042,33001,100,5070,building_footprint_area,"Three Rivers Region--Calhoun, Chickasaw, Itawamba, Lafayette & Monroe Counties PUMA",MS,2800400
00900,01,6100,1.4530234231433485e-4,G01000900,"Gadsden city, AL",21.67052936553955,1.4530234231433485e-4,149140.94996940484,9,100,5070,building_footprint_area,St. Clair & Blount Counties PUMA,AL,0100900
00700,01,10700,2.451989459009789e-5,G01000700,"Birmingham city, AL",3.134140133857727,2.451989459009789e-5,127820.29393892328,2,100,5070,building_footprint_area,Etowah & Cherokee Counties PUMA,AL,0100700
01600,01,9600,0.2790430655919221,G01001600,"Anniston city, AL",36888.49950210843,0.2790430655919221,132196.43865314638,18432,100,5070,building_footprint_area,"Talladega, Randolph, Cleburne & Clay Counties PUMA",AL,0101600
00800,01,9600,0.9995158154489974,G01000800,"Anniston city, AL",115716.17334829316,0.9995158154489974,115772.22847275482,24733,100,5070,building_footprint_area,Calhoun County PUMA,AL,0100800
00800,01,6100,4.397177105298526e-5,G01000800,"Gadsden city, AL",5.090709924697876,4.397177105298526e-5,115772.22847275482,2,100,5070,building_footprint_area,Calhoun County PUMA,AL,0100800
01301,01,10600,0.5655449814279052,G01001301,"Birmingham city, AL",64990.62631009193,0.5655449814279052,114916.812003179,21971,100,5070,building_footprint_area,"Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities PUMA",AL,0101301
01100,01,10600,0.2407486683140383,G01001100,"Birmingham city, AL",30086.00161787076,0.2407486683140383,124968.50690208538,13890,100,5070,building_footprint_area,West Alabama PUMA,AL,0101100
01301,01,10700,0.4344550185720949,G01001301,"Birmingham city, AL",49926.185693087056,0.4344550185720949,114916.812003179,11343,100,5070,building_footprint_area,"Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities PUMA",AL,0101301
01000,13,9600,0.17454895433972012,G13001000,"Anniston city, AL",29795.783338265497,0.17454895433972012,170701.5859875891,9377,100,5070,building_footprint_area,"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA",GA,1301000
01402,01,10700,1,G01001402,"Birmingham city, AL",132917.04150438472,1,132917.04150438472,15666,100,5070,building_footprint_area,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA",AL,0101402
00400,28,10600,4.768816586066796e-6,G28000400,"Birmingham city, AL",0.6809443831443787,4.768816586066796e-6,142791.06165121042,1,100,5070,building_footprint_area,"Three Rivers Region--Calhoun, Chickasaw, Itawamba, Lafayette & Monroe Counties PUMA",MS,2800400
01600,01,9500,0.7209489714936468,G01001600,"Talladega city, AL",95306.88648210884,0.7209489714936468,132196.43865314638,26681,100,5070,building_footprint_area,"Talladega, Randolph, Cleburne & Clay Counties PUMA",AL,0101600
00800,01,9500,4.402127799496115e-4,G01000800,"Talladega city, AL",50.96441453695297,4.402127799496115e-4,115772.22847275482,10,100,5070,building_footprint_area,Calhoun County PUMA,AL,0100800
02600,13,9600,0.9992970804662163,G13002600,"Anniston city, AL",118738.02968008025,0.9992970804662163,118821.55166978342,26055,100,5070,building_footprint_area,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,GA,1302600
01401,01,10700,0.9999747518196856,G01001401,"Birmingham city, AL",117778.97407283192,0.9999747518196856,117781.94785268907,17680,100,5070,building_footprint_area,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA",AL,0101401
01401,01,10600,2.52481803143381e-5,G01001401,"Birmingham city, AL",2.973779857158661,2.52481803143381e-5,117781.94785268907,2,100,5070,building_footprint_area,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA",AL,0101401
01403,01,10700,1,G01001403,"Birmingham city, AL",186346.9448733176,1,186346.9448733176,13828,100,5070,building_footprint_area,Birmingham City PUMA,AL,0101403
01404,01,10700,1,G01001404,"Birmingham city, AL",183872.4094532221,1,183872.4094532221,15937,100,5070,building_footprint_area,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA",AL,0101404
00600,28,10600,1.4871914912448152e-4,G28000600,"Birmingham city, AL",25.90338224172592,1.4871914912448152e-4,174176.50917330198,10,100,5070,building_footprint_area,"Golden Triangle Region--Columbus, Starkville, & West Point Cities PUMA",MS,2800600
01501,01,10700,1,G01001501,"Birmingham city, AL",137123.33562658355,1,137123.33562658355,15146,100,5070,building_footprint_area,"Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities PUMA",AL,0101501
01100,01,10801,0.2937629895539092,G01001100,"Tuscaloosa city, AL",36711.12218764494,0.2937629895539092,124968.50690208538,11703,100,5070,building_footprint_area,West Alabama PUMA,AL,0101100
01201,01,10801,0.9994269391674682,G01001201,"Tuscaloosa city, AL",100024.62334823796,0.9994269391674682,100081.9764089603,21859,100,5070,building_footprint_area,Tuscaloosa County (Outer)--Northport City (North & West) PUMA,AL,0101201
01201,01,10600,1.3095187972546692e-5,G01001201,"Birmingham city, AL",1.3105922937393188,1.3095187972546692e-5,100081.9764089603,1,100,5070,building_footprint_area,Tuscaloosa County (Outer)--Northport City (North & West) PUMA,AL,0101201
01502,01,10700,0.9998149298539885,G01001502,"Birmingham city, AL",129800.65895708278,0.9998149298539885,129824.68563060836,32444,100,5070,building_footprint_area,Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities PUMA,AL,0101502
01100,01,10501,0.1523596673468725,G01001100,"Columbus city, MS",19040.16014043707,0.1523596673468725,124968.50690208538,8280,100,5070,building_footprint_area,West Alabama PUMA,AL,0101100
02700,13,9600,0.7968525849116728,G13002700,"Anniston city, AL",80515.56262662238,0.7968525849116728,101041.97959720134,18811,100,5070,building_footprint_area,"Three Rivers Regional Commission (Southwest)--Troup, Meriwether & Heard Counties PUMA",GA,1302700
00600,28,10501,0.3941726527429476,G28000600,"Columbus city, MS",68655.61666634679,0.3941726527429476,174176.50917330198,17627,100,5070,building_footprint_area,"Golden Triangle Region--Columbus, Starkville, & West Point Cities PUMA",MS,2800600
01502,01,9500,2.7178169579708734e-5,G01001502,"Talladega city, AL",3.52839732170105,2.7178169579708734e-5,129824.68563060836,1,100,5070,building_footprint_area,Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities PUMA,AL,0101502
01201,01,10700,4.794114912483754e-4,G01001201,"Birmingham city, AL",47.98044955730438,4.794114912483754e-4,100081.9764089603,4,100,5070,building_footprint_area,Tuscaloosa County (Outer)--Northport City (North & West) PUMA,AL,0101201
01202,01,10801,1,G01001202,"Tuscaloosa city, AL",125222.00444879568,1,125222.00444879568,9546,100,5070,building_footprint_area,Tuscaloosa & Northport (Southeast) Cities PUMA,AL,0101202
02000,01,9600,0.2978947043824089,G01002000,"Anniston city, AL",34336.74258930469,0.2978947043824089,115264.69616333442,9153,100,5070,building_footprint_area,"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties PUMA",AL,0102000
01100,01,10700,1.6097297798632378e-5,G01001100,"Birmingham city, AL",2.011655271053314,1.6097297798632378e-5,124968.50690208538,2,100,5070,building_footprint_area,West Alabama PUMA,AL,0101100
02000,01,9500,0.4452602260988418,G01002000,"Talladega city, AL",51322.784674900584,0.4452602260988418,115264.69616333442,17789,100,5070,building_footprint_area,"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties PUMA",AL,0102000
01100,01,10802,0.313055545347664,G01001100,"Demopolis city, AL",39122.084079515655,0.313055545347664,124968.50690208538,14534,100,5070,building_footprint_area,West Alabama PUMA,AL,0101100
01201,01,10802,8.055415331092106e-5,G01001201,"Demopolis city, AL",8.062018871307373,8.055415331092106e-5,100081.9764089603,3,100,5070,building_footprint_area,Tuscaloosa County (Outer)--Northport City (North & West) PUMA,AL,0101201
02000,01,9701,3.8900628076278754e-5,G01002000,"Columbus city (remainder), GA",4.4838690757751465,3.8900628076278754e-5,115264.69616333442,2,100,5070,building_footprint_area,"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties PUMA",AL,0102000
02201,01,9600,2.254142269882769e-5,G01002201,"Anniston city, AL",2.3523075580596924,2.254142269882769e-5,104354.88431624277,1,100,5070,building_footprint_area,Lee (East) & Russell Counties--Phenix City & Smiths Station Cities PUMA,AL,0102201
02201,01,9800,0.43773400893285946,G01002201,"Auburn city, AL",45679.68186347373,0.43773400893285946,104354.88431624277,8815,100,5070,building_footprint_area,Lee (East) & Russell Counties--Phenix City & Smiths Station Cities PUMA,AL,0102201
02201,01,9701,0.5622349511150374,G01002201,"Columbus city (remainder), GA",58671.96328215813,0.5622349511150374,104354.88431624277,10689,100,5070,building_footprint_area,Lee (East) & Russell Counties--Phenix City & Smiths Station Cities PUMA,AL,0102201
02000,01,9800,0.2567523638743927,G01002000,"Auburn city, AL",29594.483211199753,0.2567523638743927,115264.69616333442,9376,100,5070,building_footprint_area,"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties PUMA",AL,0102000
02101,01,9600,1.385558152656152e-4,G01002101,"Anniston city, AL",17.555459141731262,1.385558152656152e-4,126703.1564721912,3,100,5070,building_footprint_area,Lee County (West)--Auburn & Opelika Cities PUMA,AL,0102101
02101,01,9800,0.9998488941085776,G01002101,"Auburn city, AL",126684.01087878644,0.9998488941085776,126703.1564721912,15889,100,5070,building_footprint_area,Lee County (West)--Auburn & Opelika Cities PUMA,AL,0102101
01901,01,11101,1,G01001901,"Montgomery city, AL",100023.27306346036,1,100023.27306346036,27173,100,5070,building_footprint_area,Elmore & Montgomery (South & Far East) Counties PUMA,AL,0101901
01502,01,10801,1.578919764319303e-4,G01001502,"Tuscaloosa city, AL",20.498276203870773,1.578919764319303e-4,129824.68563060836,11,100,5070,building_footprint_area,Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities PUMA,AL,0101502
01700,01,10801,0.40329356246592546,G01001700,"Tuscaloosa city, AL",46473.53642151819,0.40329356246592546,115235.00682073191,12291,100,5070,building_footprint_area,"Autauga, Dallas, Lowndes & Perry Counties PUMA",AL,0101700
02000,01,11101,5.3805016280340544e-5,G01002000,"Montgomery city, AL",6.2018188536167145,5.3805016280340544e-5,115264.69616333442,4,100,5070,building_footprint_area,"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties PUMA",AL,0102000
