PUMA20_GISJOIN,CZ90,CZ90_name,pop_overlap,share_of_PUMA20,PUMA20_total_pop,cells,grid_res_m,crs_epsg,method,PUMA20_name,state_fips,state,afactor,GISJOIN,STATEFP20,PUMACE20,GEOID20
G01000600,6401,"Chattanooga city, TN",9.416569859,7.62e-05,123531.4087,7,100,5070,building_footprint_area,DeKalb & Jackson Counties PUMA,1,AL,7.62e-05,G01000600,1,600,100600
G01000600,6100,"Gadsden city, AL",123516.0021,0.999875282,123531.4087,47275,100,5070,building_footprint_area,DeKalb & Jackson Counties PUMA,1,AL,0.999875282,G01000600,1,600,100600
G47003300,6401,"Chattanooga city, TN",57617.12395,0.552413376,104300.7401,18818,100,5070,building_footprint_area,"Warren, Marion & Sequatchie Counties--McMinnville city PUMA",47,TN,0.552413376,G47003300,47,3300,4703300
G01000401,6000,"Huntsville city, AL",113010.1681,0.999983552,113012.027,21094,100,5070,building_footprint_area,Madison County (North & East)--Huntsville City (East) PUMA,1,AL,0.999983552,G01000401,1,401,100401
G47003100,6000,"Huntsville city, AL",35259.22615,0.294742974,119627.0286,14316,100,5070,building_footprint_area,"Bedford, Lincoln & Marshall Counties--Shelbyville & Lewisburg cities PUMA",47,TN,0.294742974,G47003100,47,3100,4703100
G13000100,6100,"Gadsden city, AL",39.90887696,0.000227,176083.5284,18,100,5070,building_footprint_area,"Northwest Georgia Regional Commission--Walker, Catoosa, Chattooga & Dade Counties PUMA",13,GA,0.000227,G13000100,13,100,1300100
G01000200,6000,"Huntsville city, AL",100827.8741,0.999810185,100847.0164,21236,100,5070,building_footprint_area,Limestone County PUMA,1,AL,0.999810185,G01000200,1,200,100200
G47003000,5500,"Columbia city, TN",42698.22026,0.385165426,110856.8355,16887,100,5070,building_footprint_area,"Lawrence, Giles & Wayne Counties--Lawrenceburg city PUMA",47,TN,0.385165426,G47003000,47,3000,4703000
G01000200,5500,"Columbia city, TN",19.14232256,0.00019,100847.0164,5,100,5070,building_footprint_area,Limestone County PUMA,1,AL,0.00019,G01000200,1,200,100200
G47003000,6000,"Huntsville city, AL",10.89213231,9.83e-05,110856.8355,5,100,5070,building_footprint_area,"Lawrence, Giles & Wayne Counties--Lawrenceburg city PUMA",47,TN,9.83e-05,G47003000,47,3000,4703000
G01000100,6200,"Florence city, AL",182111.8048,0.999987053,182114.1627,48760,100,5070,building_footprint_area,"Lauderdale, Colbert & Franklin Counties PUMA",1,AL,0.999987053,G01000100,1,100,100100
G47003000,6200,"Florence city, AL",59973.72307,0.541001579,110856.8355,22165,100,5070,building_footprint_area,"Lawrence, Giles & Wayne Counties--Lawrenceburg city PUMA",47,TN,0.541001579,G47003000,47,3000,4703000
G01000100,6000,"Huntsville city, AL",1.313083023,7.21e-06,182114.1627,3,100,5070,building_footprint_area,"Lauderdale, Colbert & Franklin Counties PUMA",1,AL,7.21e-06,G01000100,1,100,100100
G01000402,6000,"Huntsville city, AL",152715.8958,1.0,152715.8958,13026,100,5070,building_footprint_area,"Huntsville (North & Far West), Madison (East) & Triana Cities PUMA",1,AL,1.0,G01000402,1,402,100402
G01000403,6000,"Huntsville city, AL",107711.5481,1.0,107711.5481,8672,100,5070,building_footprint_area,Huntsville City (Central & South) PUMA,1,AL,1.0,G01000403,1,403,100403
G01000300,6000,"Huntsville city, AL",155628.9925,0.999359866,155728.6797,39076,100,5070,building_footprint_area,Morgan & Lawrence Counties--Decatur City PUMA,1,AL,0.999359866,G01000300,1,300,100300
G01000401,6100,"Gadsden city, AL",1.85887301,1.64e-05,113012.027,1,100,5070,building_footprint_area,Madison County (North & East)--Huntsville City (East) PUMA,1,AL,1.64e-05,G01000401,1,401,100401
G13000100,6401,"Chattanooga city, TN",151183.1698,0.858587803,176083.5284,33515,100,5070,building_footprint_area,"Northwest Georgia Regional Commission--Walker, Catoosa, Chattooga & Dade Counties PUMA",13,GA,0.858587803,G13000100,13,100,1300100
G01000501,6000,"Huntsville city, AL",13556.32258,0.122304138,110841.079,3339,100,5070,building_footprint_area,Marshall & Madison (Far Southeast) Counties PUMA,1,AL,0.122304138,G01000501,1,501,100501
G01000501,6100,"Gadsden city, AL",97283.31354,0.877682845,110841.079,26644,100,5070,building_footprint_area,Marshall & Madison (Far Southeast) Counties PUMA,1,AL,0.877682845,G01000501,1,501,100501
G01000700,6600,"Rome city, GA",24838.27941,0.194321877,127820.2939,11730,100,5070,building_footprint_area,Etowah & Cherokee Counties PUMA,1,AL,0.194321877,G01000700,1,700,100700
G01000700,6100,"Gadsden city, AL",102978.8804,0.805653603,127820.2939,25552,100,5070,building_footprint_area,Etowah & Cherokee Counties PUMA,1,AL,0.805653603,G01000700,1,700,100700
G01000600,6600,"Rome city, GA",5.990017682,4.85e-05,123531.4087,8,100,5070,building_footprint_area,DeKalb & Jackson Counties PUMA,1,AL,4.85e-05,G01000600,1,600,100600
G28000200,5100,"Corinth city, MS",78054.47523,0.554246658,140829.8527,27103,100,5070,building_footprint_area,"Northeast Region--Alcorn, Benton, Marshall, Prentiss, Tippah & Tishomingo Counties PUMA",28,MS,0.554246658,G28000200,28,200,2800200
G01000300,6200,"Florence city, AL",7.940787703,5.1e-05,155728.6797,10,100,5070,building_footprint_area,Morgan & Lawrence Counties--Decatur City PUMA,1,AL,5.1e-05,G01000300,1,300,100300
G01001000,6100,"Gadsden city, AL",10.05819917,7.21e-05,139547.0349,3,100,5070,building_footprint_area,"Cullman, Marion & Winston Counties PUMA",1,AL,7.21e-05,G01001000,1,1000,101000
G01001000,10700,"Birmingham city, AL",87235.88482,0.625136069,139547.0349,31234,100,5070,building_footprint_area,"Cullman, Marion & Winston Counties PUMA",1,AL,0.625136069,G01001000,1,1000,101000
G01000501,10700,"Birmingham city, AL",1.442896783,1.3e-05,110841.079,2,100,5070,building_footprint_area,Marshall & Madison (Far Southeast) Counties PUMA,1,AL,1.3e-05,G01000501,1,501,100501
G01001000,6000,"Huntsville city, AL",3.688803434,2.64e-05,139547.0349,2,100,5070,building_footprint_area,"Cullman, Marion & Winston Counties PUMA",1,AL,2.64e-05,G01001000,1,1000,101000
G13001000,6600,"Rome city, GA",140904.9633,0.825446129,170701.586,29848,100,5070,building_footprint_area,"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA",13,GA,0.825446129,G13001000,13,1000,1301000
G01000300,10700,"Birmingham city, AL",91.74640372,0.000589,155728.6797,34,100,5070,building_footprint_area,Morgan & Lawrence Counties--Decatur City PUMA,1,AL,0.000589,G01000300,1,300,100300
